segment length flaws
1 1 1
2 3 2
3 5 23
4 2 1
5 3 1
6 5 3
7 4 10
8 5 2
9 3 12
10 2 2
11 1 1
12 1 2
13 5 14
14 4 7
15 5 20
16 1 0
17 3 6
18 2 1
19 5 3
20 4 13
21 6 4
22 6 13
23 4 15
24 4 18
25 5 5
26 4 15
27 2 2
28 2 1
29 2 3
30 1 4
31 2 0
32 3 12
33 1 0
34 4 0
35 4 13
36 3 8
37 3 10
38 2 6
39 4 8
40 5 4
41 6 18
42 2 6
43 3 1
44 5 12
45 3 0
46 6 15
47 2 0
48 1 1
49 6 27
50 4 2
51 3 1
52 1 7
53 5 13
54 3 10
55 4 4
56 3 15
57 2 2
58 5 1
59 2 4
60 4 1
61 2 2
62 3 14
63 4 4
64 3 6
65 5 14
66 2 1
67 1 0
68 5 0
69 3 1
70 4 15
71 3 4
72 1 0
73 3 3
74 6 0
75 5 18
